article_id,sentence_id,sentence_text,start_char,end_char,label,technique
article700387229,20,"Although health officials have said that internationally, the threat is still fairly low, they’ve also said no one in Madagascar is safe, including travelers, spiking concerns over a possible global pandemic.",3028,3236,1,"Loaded Language, Fear Appeal, Exaggeration"
article700461600,2,"Last week, it must have been very much on Kurdish minds.",94,150,1,General Persuasion
article700461600,33,"Damascus claims that Israel's ""terrorist"" allies inside Syria fired the shells, to give the IDF an excuse to attack.",3518,3634,1,Fear Appeal
article700461600,35,Because the Israelis see the outcome of the six-year Syrian civil war as a strategic disaster.,3686,3780,1,Loaded Language
article700461600,41,"""A failure by the United States to defend its allies or promote new political arrangements for (Syria and Iraq) will lead only to more war, the rise of new terrorist threats, and, ultimately, the necessity of more U.S.",4209,4427,1,"Loaded Language, Fear Appeal"
article700551604,30,"It’s essentially an admission of guilt, given that it is absolutely ludicrous to think that “national security” would be threatened by the release of the CIA’s long-secret JFK-assassination-related records.",3326,3532,1,"Loaded Language, Fear Appeal"
article700551604,37,"Yet, from the very beginning, the mainstream media has never given any serious consideration to the possibility that Oswald was framed for the crime.",4432,4581,1,Exaggeration
article700551604,65,Too bad the mainstream press has never given that manual the consideration it deserves.,8979,9066,1,Exaggeration
article700662577,0,"Puerto Rico’s Power Grid Failure Is Causing A Public Health Crisis Of Epic Proportions

One month after the devastating Hurricane Maria wreaked havoc on the island of Puerto Rico, the territory is still facing a public health crisis.",0,233,1,"Loaded Language, Fear Appeal"
article700662577,1,And it’s a crisis of epic proportions.,234,272,1,"Loaded Language, Fear Appeal"
article700662577,4,It illuminates just a small sliver of the public health crisis Puerto Rico is currently facing.,717,812,1,"Loaded Language, Fear Appeal"
article700662577,10,"“Even before Hurricanes Irma and Maria hit the U.S. territories, the islands’ health care system was suffering from the ongoing economic crisis.",1425,1569,1,"Loaded Language, Fear Appeal"
article700662577,12,"“We are grateful for the public health emergency declaration in Puerto Rico and the U.S. Virgin Islands, but more can and should be done to help Americans impacted by these disasters.”
The senators stressed that much of the islands’ power and communication networks are out and, according to the Federal Emergency Management Agency (FEMA), it will take months before power is fully restored.",1802,2193,1,"Loaded Language, Appeal to Authority"
article700662577,23,"The looming crisis seems to be getting worse, not better, and Puerto Rico is experiencing a medical crisis of epic proportions.",3511,3638,1,"Loaded Language, Fear Appeal"
article701225819,19,"You should learn to call them by their real name, ‘Satan.’ You’re coming face to face with Satan, the Arch Deceiver, the enemy of God, and the enemy of the righteous.”
In June 2016, Zakkout clicked ‘like’ under someone else’s Facebook posting (on Zakkout’s personal Facebook page) of a grotesque cartoon containing a worried-looking religious Jew hiding behind an animated tree with a bearded man brandishing a rifle coming towards them.",2696,3133,1,Name Calling
article701225819,23,"Come and kill him.”
In April 2016, Zakkout promoted a report discussing the absurd notion of Jewish involvement in the September 11th attacks on the World Trade Center and the Pentagon.",3233,3418,1,Fear Appeal
article701225819,26,"Soup to nuts, top to bottom, the 9/11/01 terrorist attacks on New York City and Washington D.C. were an ‘Israeli’-Jewish job.” The website which published the report and which Zakkout linked to is Mouqawamah Music, a site that openly calls for “Death to Israel” and labels the Jewish religion “wicked and filth-ridden.”
In February 2016, Zakkout circulated on social media a report claiming that “the Holocaust was faked.” It begins: “The alleged ‘Holocaust’ of ‘6 million Jews’ at the hands of Adolf Hitler and National Socialist Germany during WWII is the biggest lie ever foisted upon humanity.” It was produced by The Realist Report, an anti-Jew, anti-black, anti-gay independent media outlet, which describes Hitler as “the greatest leader in modern Western history.”
In December 2015, Zakkout posted a photo of Israel Defense Forces (IDF) Chief of Staff Gadi Eizenkot, who is a decorated veteran of many different wars and battles fought by Israel over the last three-plus decades.",3543,4530,1,Fear Appeal
article701225819,36,"If people like David Duke and Louis Farrakhan can be condemned and repudiated for spreading their toxic hate, their fan and propagator Zakkout can and must be as well.",6004,6171,1,General Persuasion
article701299732,0,"It’s Airborne: Officials Warn That The “Black Death” Plague Could Spread Rapidly

The fears that the “black death” would spread from Madagascar have now taken hold.",0,164,1,Fear Appeal
article701299732,3,"Dr. Ashok Chopra, a professor of microbiology and immunology at the University of Texas, told The Sun Online the crisis in Madagascar had yet to peak.",479,629,1,"Loaded Language, Fear Appeal"
article701299732,8,The outbreak is considered a much bigger threat to the region than in previous years because it has taken on its pneumonic form.,1249,1377,1,"Loaded Language, Fear Appeal"
article701447437,6,“I will always practice the turning of the bones of my ancestors — plague or no plague.,1335,1422,1,Exaggeration
article701447437,11,"And I’ve never caught the plague,” she told the AFP.",1912,1964,1,Exaggeration
article701553469,25,"In practice, this prevents McGill’s Jewish community from defending itself against the absurd attacks to which it is subjected.",3815,3942,1,Fear Appeal
article701837665,39,"The notion that the CIA suddenly hit Trump yesterday with a new argument as to why “national security” would be threatened, after Trump had supposedly already rejected the arguments that had been presented to him, causing Trump to suddenly change his mind, is, well, laughable.",5564,5841,1,"Loaded Language, Fear Appeal"
article701837665,45,"To make certain that the CIA fulfills its part of the bargain, Trump would need the April deadline so that the threat of the records release would continue hanging over the CIA.",6332,6509,1,"Loaded Language, Fear Appeal"
article701837665,49,"that constituted a grave threat to “national security,” i.e., befriending the Russians (i.e., the Soviets) and Cubans and entering into peaceful coexistence with the communist world.",7176,7358,1,"Loaded Language, Fear Appeal"
article701837665,62,"After Oswald supposedly tried to defect to the Soviet Union and promised U.S. Embassy officials in Moscow that he was going to deliver classified information to the Soviet Union, which was America’s sworn Cold War enemy (and former World War II partner and ally), U.S. officials permitted him to return home with a Red wife, without even one grand-jury summons or even an iota of harassment.",9110,9501,1,Name Calling
article701837665,94,"Ever since the assassination, the CIA has argued that the release of any of its JFK records would threaten “national security.” One thing is for sure and undeniable: Despite the release of many of the CIA’s records in the 1990s and yesterday, the United States did not fall into the ocean or fall to the communists.",12351,12666,1,"Loaded Language, Fear Appeal"
article702077783,1,"58 dead, hundreds wounded, the savagery of the Vegas attack is unspeakable, and still the incompetent, clueless authorities know nothing.",153,290,1,Fear Appeal
article702077783,16,The San Bernardino jihad attackers did the same thing.,1316,1370,1,Fear Appeal
article702077783,17,"If you recall, Syed Rizwan Farook and Tashfeen Malik threw their hard drives in a lake near their home, and despite Herculean efforts by law enforcement, the hard drives were never recovered.",1371,1562,1,Exaggeration
article702077783,21,It wasn’t always like this.,1919,1946,1,Exaggeration
article702111021,10,"Kritarch Saris has apparently seen the SCOTUS writing on the wall, and perhaps had an attack of her legal conscience and decided that she will acquiesce on the major issue, but fight on a minor issue.",1560,1760,1,Fear Appeal
article703056647,4,The rainy season poses a threat to the containment of the plague because outbreaks of this magnitude often seem to be seasonal.,493,620,1,"Loaded Language, Fear Appeal"
article703056647,5,The Foreign Office recently warned that the deadly outbreak is entering its most dangerous phase.,621,718,1,"Loaded Language, Fear Appeal"
article703056647,7,"Because the disease can be spread easily through a cough or sneeze, experts are fearful.",1020,1108,1,Fear Appeal
article703056647,13,"The country’s health chief Willy Randriamarotia said: “If a person dies of pneumonic plague and is then interred in a tomb that is subsequently opened for a Famadihana, the bacteria can still be transmitted and contaminate whoever handles the body.” The tradition has been banned since the outbreak began, but it is feared ceremonies have taken place regardless as local continue to balk that their rituals have contributed to the outbreak.",1737,2177,1,Fear Appeal
article703056647,15,"Olivier Le Guillou of Action Against Hunger said: “The epidemic is ahead of us, we have not yet reached the peak.”
As many as 50 aid workers are believed to have been among the 1,200 people infected with the more dangerous airborne pneumonic strain of the disease.",2361,2625,1,"Loaded Language, Fear Appeal"
article703698295,3,Or at least to stop attacking them.,481,516,1,Fear Appeal
