article_id,sentence_id,sentence_text,start_char,end_char,label,technique,risk_score
article111111122,0,"Kavanaugh Nomination Is Exploding in Trump’s Face

The president is doubling down on an increasingly risky candidate.",0,117,0,None,0
article111111122,1,Justice Anthony Kennedy gave President Donald Trump the biggest political gift possible when he announced his resignation in the spring.,118,254,0,None,0
article111111122,2,"Even though not everything that’s gone wrong is Trump’s fault, he has managed to make a complete hash of Brett Kavanaugh’s nomination to fill the empty seat on the court.",255,425,0,None,0
article111111122,3,It’s a good example of how badly Trump does his job more than a year and a half into his administration.,426,530,0,None,0
article111111122,4,"To begin with, Trump has outsourced his judicial nominations to outside, party-aligned groups, the Heritage Foundation and the Federalist Society.",532,678,0,None,0
article111111122,5,That included an unusually central role for the Federalist Society’s Leonard Leo.,679,760,0,None,0
article111111122,6,That wasn’t entirely a Trump mistake.,762,799,0,None,0
article111111122,7,His decision during the campaign to release a list of potential justices drafted by Leo reflected the reality-TV star’s weakness as a presidential candidate.,800,957,0,None,0
article111111122,8,"The party was worried that Trump might turn out not to be a conservative; to reassure them, he publicly committed to their top goal.",958,1090,0,None,0
article111111122,9,"In some ways, that’s successful coalition-building, and what he’s done in office is just keeping his promises on judges.",1091,1211,0,None,0
article111111122,10,"Still, it’s one thing to form an alliance with conservatives; it’s another to turn the whole process over to them.",1213,1327,0,None,0
article111111122,11,We don’t know to what extent Kavanaugh was Trump’s choice and to what extent he was manipulated into choosing him.,1328,1442,0,None,0
article111111122,12,"We have plenty of evidence that Trump is easily manipulated by those around him, and that Kavanaugh is a good fit for Trump’s biases: The judge has Ivy League credentials and he passes Trump’s cut-of-his-jib test by looking the part.",1443,1676,0,None,0
article111111122,13,"1

Either way, Kavanaugh was a poor choice from the point of view of good presidenting.",1677,1764,0,None,0
article111111122,14,The judge was certain to be a highly controversial selection from the start.,1765,1841,0,None,0
article111111122,15,"After all, he had been a highly controversial selection for his current circuit court seat, eventually getting confirmed with only four Democratic votes after a long delay.",1842,2014,0,None,0
article111111122,16,"Kavanaugh is a longtime Republican operative, a hard-liner during both the Vince Foster and Monica Lewinsky investigations.",2015,2138,0,None,0
article111111122,17,"Nominating him, rather than a conservative with similar views but a different background, was bound to stir up trouble.",2139,2258,0,None,0
article111111122,18,"It was also true, as Senate Majority Leader Mitch McConnell reportedly warned, that normal disclosure of Kavanaugh’s record, especially his service during the George W. Bush administration, was going to delay confirmation even more.",2259,2491,0,None,0
article111111122,19,"Senate Republicans dealt with that problem by deciding to not bother with any Kavanaugh documents that couldn’t be produced rapidly, which further riled up the Democrats and gave that party some good talking points.",2492,2707,0,None,0
article111111122,20,"2


Sometimes it’s worth taking risks.",2708,2746,0,None,0
article111111122,21,Presidents who shy away from anything that’s not a sure thing can fail to exploit opportunities.,2747,2843,0,None,0
article111111122,22,"It’s just very hard to see any upside for Trump in choosing Kavanaugh instead of a safer, but still very conservative, other option.",2844,2976,0,None,0
article111111122,23,"3

When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick with him instead of moving on to another candidate.",2977,3127,0,None,0
article111111122,24,"It’s still not clear that Kavanaugh’s nomination is doomed, but it’s certainly in severe trouble.",3128,3225,0,None,0
article111111122,25,"Losing a high-profile fight is always going to hurt a president, which is why they should take care to avoid high-risk, low-reward conflicts.",3226,3367,1,"Fear Appeal, Exaggeration",65
article111111122,26,But there’s an art to minimizing damage.,3368,3408,0,None,0
article111111122,27,And Trump hasn’t learned it yet.,3409,3441,0,None,0
article111111122,28,"For one thing, the president has made this an extremely high-profile episode by stringing out the process as the accusations against Kavanaugh gained credibility and even multiplied.",3443,3625,0,None,0
article111111122,29,"Whether that matters in terms of public opinion for Trump is unclear, but it certainly isn’t good for any Republican senators caught up in the middle, along with any other candidates who have had to weigh in only to find the facts as they knew them constantly changing.",3626,3895,0,None,0
article111111122,30,"It’s also the case that the more negative information comes out, the more it appears that the Trump and his White House staff failed to do their jobs in vetting and managing Kavanaugh.",3897,4081,0,None,0
article111111122,31,"If the nomination had been pulled right after Christine Blasey Ford made her initial assertions about Kavanaugh, the public might have concluded that it wasn’t Trump’s fault that a previously unaired accusation came to light.",4082,4307,0,None,0
article111111122,32,"Meanwhile, Trump’s behavior has been as erratic as ever.",4309,4365,0,None,0
article111111122,33,"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward.",4366,4610,1,Fear Appeal,55
article111111122,34,"He sometimes praises Kavanaugh, but also let it be known that he thought the nominee had performed badly in his Fox News interview.",4611,4742,0,None,0
article111111122,35,"The White House demanded a final up and down vote on Tuesday; by Wednesday, he was saying that the nomination would die if Kavanaugh didn’t do well before the Judiciary Committee on Thursday.",4743,4934,0,None,0
article111111122,36,"The sum of all this has been, as in many other episodes, that Trump and his White House are a gang that can’t shoot straight and that he’s eager to blame his allies and lash out at his enemies in ugly ways when things go wrong.",4935,5162,0,None,0
article111111122,37,"A botched nomination matters because allies will be less likely to trust Trump, not just on Supreme Court choices, but on any initiative.",5164,5301,0,None,0
article111111122,38,"And, for that matter, they’ll be less likely to trust him when he asserts that there’s nothing remaining for Special Counsel Robert Mueller to reveal.",5302,5452,0,None,0
article111111122,39,"Trump’s professional reputation is already terrible, but everything counts.",5453,5528,0,None,0
article111111122,40,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president.",5529,5654,0,None,0
article111111122,41,"Trump is hurting himself right now, and will have hurt himself more if Kavanaugh is not confirmed.",5655,5753,0,None,0
article111111122,42,"And yes, I call it the cut-of-his-jib test quite deliberately.",5755,5817,0,None,0
article111111122,43,"It's no surprise that someone who hires based on what he thinks someone doing that job should look like, which seems to be based on hazy old-time Hollywood casting, would wind up with fewer women in his administration than any of his recent predecessors.",5818,6072,0,None,0
article111111122,44,"I've argued that too much disclosure is required, and that Democrats (and any wavering Republicans) had more than enough information to make up their mind.",6074,6229,0,None,0
article111111122,45,I still think that's true.,6230,6256,0,None,0
article111111122,46,"But it did leave Republicans vulnerable to claims about transparency which were likely to be popular -- most people, and the entire press corps, love transparency -- and vulnerable to bombshells in the documentary record which hadn't been initially disclosed.",6257,6516,0,None,0
article111111122,47,"In the event, that's not what's causing the trouble, but still it's an example of Trump taking needless risks.",6517,6627,0,None,0
article111111122,48,Some have speculated that Kavanaugh would be especially likely to rule in Trump's favor if any cases stemming from the Robert Mueller investigation wind up at the high court.,6629,6803,0,None,0
article111111122,49,Perhaps.,6804,6812,0,None,0
article111111122,50,"There are plenty of other partisan, conservative judges, and plenty of conservative judges who lean towards an expansive view of presidential powers.",6813,6962,0,None,0
article111111122,51,"And if Kavanaugh is really an outlier on that issue, then he won't be in the majority on any future decision anyway.",6963,7079,0,None,0
article111111122,52,"So, no, I don't think there's any good reason to think Kavanaugh would be especially helpful to Trump compared to others he could have selected.",7080,7224,0,None,0
article111111123,0,"Domestic abuse allegations against Keith Ellison cannot be substantiated, Dems' lawyer says

A lawyer hired by Minnesota Democrats says she is unable to substantiate the accusations of domestic abuse against Rep. Keith Ellison because the lawmaker’s ex-girlfriend refused to provide video of the incident - but the findings are still being turned over to law enforcement.",0,371,0,None,0
article111111123,1,"The Associated Press on Monday reported that it obtained a draft of a report written by Susan Ellingstad, a lawyer hired by Minnesota's Democratic-Farmer-Labor Party to investigate the claim against Ellison.",373,580,0,None,0
article111111123,2,"""The investigation report, which was released today without our knowledge by someone outside of our organization, was unable to substantiate the claim of physical abuse made by Ms. Monahan,” DFL Chairman Ken Martin said in a statement.",583,818,0,None,0
article111111123,3,Martin said they planned to turn over the report to local law enforcement.,820,894,0,None,0
article111111123,4,"“For the purpose of objectivity and getting all of the facts regarding these allegations, we have decided to forward the information in the investigation to local authorities in order to let them review the contents and determine whether further investigation is warranted,” Martin said.",896,1183,0,None,0
article111111123,5,"The Democratic congressman, who serves as deputy chairman of the Democratic National Committee, has denied the allegations.",1184,1307,0,None,0
article111111123,6,"In a statement, Ellison thanked Ellingstad for conducting a ""thorough, independent, and fair review.""",1309,1410,0,None,0
article111111123,7,"""I believe women who come forward must be heard, and to have their allegations fully investigated,"" Ellison said.",1412,1525,1,General Persuasion,35
article111111123,8,"""This is why I have complied with this investigation fully, and will do so with any other inquiries.",1526,1626,0,None,0
article111111123,9,"... At this time, I will be focusing on the issues of this important election.""",1627,1706,0,None,0
article111111123,10,"Ellison’s ex-girlfriend, Karen Monahan, alleged in August that Ellison dragged her off a bed by her feet while screaming obscenities at her in 2016.",1708,1856,0,None,0
article111111123,11,Monahan said she had video footage of the incident and levied the allegation just days ahead of a crowded Democratic primary for Minnesota attorney general that Ellison went on to win.,1857,2041,0,None,0
article111111123,12,"The state's Democratic party launched an investigation into the claim, retaining a local attorney with links to the state party to determine whether the alleged incident took place.",2043,2224,0,None,0
