Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"First he said that Brasey had to be heard; then he attacked her in terms that were a slur on all women who have been assaulted without immediately reporting it to the police, and he also blamed the Senate for not voting before she came forward."
"""I believe women who come forward must be heard, and to have their allegations fully investigated,"" Ellison said.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"""I believe women who come forward must be heard, and to have their allegations fully investigated,"" Ellison said."
"“I've been smeared, threatened, isolated from my own party.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"“I've been smeared, threatened, isolated from my own party."
"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"""With respect to some of these materials, I have been previously informed by the FBI and Justice Department that they would consider their release a red line that must not be crossed as they may compromise sources and methods."
Trump's threats to politely walk out of the meeting if his expectations were unmet did not materialize.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Trump's threats to politely walk out of the meeting if his expectations were unmet did not materialize.
"Minutes before the historic handshake, Trump tweeted that his top economic adviser Larry Kudlow had suffered a heart attack.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Minutes before the historic handshake, Trump tweeted that his top economic adviser Larry Kudlow had suffered a heart attack."
"Trump's move to meet him attracted fierce criticism for normalizing a regime routinely called out for its human rights abuses, that over years has built an image of fearsome renegade regime, throwing around threats of nuclear war.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Trump's move to meet him attracted fierce criticism for normalizing a regime routinely called out for its human rights abuses, that over years has built an image of fearsome renegade regime, throwing around threats of nuclear war."
"The meeting came only months after the two men traded nuclear taunts, ratcheting up tensions and leading to fears of war.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"The meeting came only months after the two men traded nuclear taunts, ratcheting up tensions and leading to fears of war."
"I’ve never known of anyone who has been pressured or felt ostracized,” said the Rev.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"I’ve never known of anyone who has been pressured or felt ostracized,” said the Rev."
"“It’s good to be God-fearing no matter how you approach it,” said Mohammad Iqbal, head of the Islamic Society of the Appalachian Region.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"“It’s good to be God-fearing no matter how you approach it,” said Mohammad Iqbal, head of the Islamic Society of the Appalachian Region."
Press relations were not always rosy in pre-Trump days.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,Press relations were not always rosy in pre-Trump days.
"Revoking Mr. Acosta’s White House badge was the most severe step yet, and it soon became apparent that the move would not pass legal muster: After suing last week, Mr. Acosta was granted the temporary return of his credentials by a federal judge.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Revoking Mr. Acosta’s White House badge was the most severe step yet, and it soon became apparent that the move would not pass legal muster: After suing last week, Mr. Acosta was granted the temporary return of his credentials by a federal judge."
"“I have never met Julian Assange or anyone connected to him,” Manafort said.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"“I have never met Julian Assange or anyone connected to him,” Manafort said."
"“I have never been contacted by anyone connected to WikiLeaks, either directly or indirectly.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"“I have never been contacted by anyone connected to WikiLeaks, either directly or indirectly."
"I have never reached out to Assange or WikiLeaks on any matter.”

Assange’s Ecuadorean lawyer, Carlos Poveda, said the Guardian report was false.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"I have never reached out to Assange or WikiLeaks on any matter.” Assange’s Ecuadorean lawyer, Carlos Poveda, said the Guardian report was false."
And WikiLeaks said on Twitter that it was “willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange.” It later tweeted that Assange had instructed his lawyers to sue the Guardian for libel.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,And WikiLeaks said on Twitter that it was “willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange.” It later tweeted that Assange had instructed his lawyers to sue the Guardian for libel.
"It was not widely recognized as an anti-Jewish organization during its early years (its early literature, though, focused on “the white man” as “the white devil”).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"It was not widely recognized as an anti-Jewish organization during its early years (its early literature, though, focused on “the white man” as “the white devil”)."
"“In that most difficult period of my life, it was the women of the Nation of Islam who supported me and I have always held them close to my heart for that reason,” she said.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"“In that most difficult period of my life, it was the women of the Nation of Islam who supported me and I have always held them close to my heart for that reason,” she said."
"Expelled former student Nikolas Cruz, 19, has been charged in the attack.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Expelled former student Nikolas Cruz, 19, has been charged in the attack."
"He is suspected of using a legally bought AR-15 semi-automatic rifle to carry out the 10-minute attack, gunning down teachers and students.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"He is suspected of using a legally bought AR-15 semi-automatic rifle to carry out the 10-minute attack, gunning down teachers and students."
"Will this sop buy Burke’s silence, staving off the feared public correction?",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Will this sop buy Burke’s silence, staving off the feared public correction?"
"But this move demonstrates—if more evidence were needed—that Bergoglio has never been the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"But this move demonstrates—if more evidence were needed—that Bergoglio has never been the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants."
"Israel Takes On the Shia Crescent

Despite Israel's repeated warnings, Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Israel Takes On the Shia Crescent Despite Israel's repeated warnings, Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat in the Middle East region as well as a threat to international peace and security."
"As long as nobody else is addressing the concern Iran’s growing control raises in a satisfactory manner, “Israel is determined to continue addressing it on its own.”
At least, Israel has a more sympathetic ear in the Trump administration than it did in the Obama administration for raising its concerns about Iran’s growing threat, not only to Israel but to U.S. interests in the region and beyond.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"As long as nobody else is addressing the concern Iran’s growing control raises in a satisfactory manner, “Israel is determined to continue addressing it on its own.” At least, Israel has a more sympathetic ear in the Trump administration than it did in the Obama administration for raising its concerns about Iran’s growing threat, not only to Israel but to U.S. interests in the region and beyond."
"“He never even told me that he owned a gun,” continued the shooter’s neighbor, adding that Paddock did not express any religious or political opinions during their conversations.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"“He never even told me that he owned a gun,” continued the shooter’s neighbor, adding that Paddock did not express any religious or political opinions during their conversations."
"The caller mentioned how some people in the crowd were warned 45 minutes before the shooting that they were going to die, suggesting that this was evidence of a wider plot and not a “lone wolf” attack.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"The caller mentioned how some people in the crowd were warned 45 minutes before the shooting that they were going to die, suggesting that this was evidence of a wider plot and not a “lone wolf” attack."
"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Although the claims are intriguing, it is important to remember that after virtually every terror attack and mass shooting, friends and neighbors express shock that the culprit would be capable of carrying out such horrors, with some outright denying it to be possible."
"pic.twitter.com/WivxGRqB6W — Laura Loomer (@LauraLoomer) October 4, 2017
Authorities must surely now be on the hunt for whoever Paddock dined with in order to ascertain whether this individual was involved in the plot and whether or not it was the same woman who reportedly told concert-goers they were “going to die” 45 minutes before the shooting took place.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"pic.twitter.com/WivxGRqB6W — Laura Loomer (@LauraLoomer) October 4, 2017 Authorities must surely now be on the hunt for whoever Paddock dined with in order to ascertain whether this individual was involved in the plot and whether or not it was the same woman who reportedly told concert-goers they were “going to die” 45 minutes before the shooting took place."
"pic.twitter.com/sotjwX3o0i — Laura Loomer (@LauraLoomer) October 6, 2017
Shockingly, another Tweet by Loomer also revealed that the license plate numbers given out by police after the horrific shooting DO NOT match the actual license plate of Paddock’s vehicle.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"pic.twitter.com/sotjwX3o0i — Laura Loomer (@LauraLoomer) October 6, 2017 Shockingly, another Tweet by Loomer also revealed that the license plate numbers given out by police after the horrific shooting DO NOT match the actual license plate of Paddock’s vehicle."
"The American Jewish Historical Society Hosts Destroy Israel Event

Daniel Greenfield, a Shillman Journalism Fellow at the Freedom Center, is an investigative journalist and writer focusing on the radical left and Islamic terrorism.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The American Jewish Historical Society Hosts Destroy Israel Event Daniel Greenfield, a Shillman Journalism Fellow at the Freedom Center, is an investigative journalist and writer focusing on the radical left and Islamic terrorism."
The fruits of the AJHS and JVP partnership have been a series of events attacking Israel.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,The fruits of the AJHS and JVP partnership have been a series of events attacking Israel.
"An organization that hands out the Emma Lazarus Award, named after a passionate Zionist, at its posh dinners is hosting attacks on the existence of Israel.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"An organization that hands out the Emma Lazarus Award, named after a passionate Zionist, at its posh dinners is hosting attacks on the existence of Israel."
A great deal of shocking behavior is taking place inside Jewish organizations whose inner workings most people in the Jewish community generally pay very little attention to.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,A great deal of unexpected behavior is taking place inside Jewish organizations whose inner workings most people in the Jewish community generally pay  little attention to.
"When the American Jewish Historical Society hosts and co-sponsors an event by a BDS hate group attacking the existence of Israel and featuring a speaker who had defended terrorism and anti-Semitism, the choice becomes easy.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"When the American Jewish Historical Society hosts and co-sponsors an event by a BDS hate group attacking the existence of Israel and featuring a speaker who had defended terrorism and anti-Semitism, the choice becomes easy."
"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews."
"There are lessons here for the Center for Jewish History and the American Jewish Historical Society, for those on the inside who see the corruption of their organizations every day and for those on the outside who are worried about speaking up.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"There are lessons here for the Center for Jewish History and the American Jewish Historical Society, for those on the inside who see the corruption of their organizations every day and for those on the outside who are worried about speaking up."
"Tea With the Curate: The Attack on Marriage is an Attack on Christ in the Eucharist

Pope Paul VI’s 1965 encyclical on the Eucharist, “Mysterium Fidei,” was the first place I saw anyone say that the body and blood, soul and complete divinity of Christ was actually present in the consecrated species.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Tea With the Curate: The Attack on Marriage is an Attack on Christ in the Eucharist Pope Paul VI’s 1965 encyclical on the Eucharist, “Mysterium Fidei,” was the first place I saw anyone say that the body and blood, soul and complete divinity of Christ was actually present in the consecrated species."
"Having been raised in Remi de Roo’s Victoria in the 1970s, I had naturally never heard anything at all about the Eucharist.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Having been raised in Remi de Roo’s Victoria in the 1970s, I had naturally never heard anything at all about the Eucharist."
"Published just three months before the close of Vatican II and just as Annibale Bugnini was cranking open the floodgates of his never-ending stream of liturgical alterations, Mysterium Fidei is now an important marker of a critical turning point in Catholic history, perhaps the most important of modern times.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Published just three months before the close of Vatican II and just as Annibale Bugnini was cranking open the floodgates of his never-ending stream of liturgical alterations, Mysterium Fidei is now an important marker of a critical turning point in Catholic history, perhaps the most important of modern times."
I remember my thoughts upon reading this shocking statement… “By doing what?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,I remember my thoughts upon reading this unexpected statement… “By doing what?
"But even so, Mysterium Fidei forced me to face up to a reality I’d never dreamed of before; that this, the little unassuming wafer, was the most important thing in the world.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"But even so, Mysterium Fidei forced me to face up to a reality I’d never dreamed of before; that this, the little unassuming wafer, was the most important thing in the world."
"Who, reading this passage, does not feel the urge to shout down the years, to do something to stave off the disaster that was coming:
[W]e are aware of the fact that, among those who deal with this Most Holy Mystery in written or spoken word, there are some who with reference either to Masses which are celebrated in private, or to the dogma of transubstantiation, or to devotion to the Eucharist, spread abroad opinions which disturb the faithful and fill their minds with no little confusion about matters of faith.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Who, reading this passage, does not feel the urge to shout down the years, to do something to stave off the disaster that was coming: [W]e are aware of the fact that, among those who deal with this Most Holy Mystery in written or spoken word, there are some who with reference either to Masses which are celebrated in private, or to the dogma of transubstantiation, or to devotion to the Eucharist, spread abroad opinions which disturb the faithful and fill their minds with no little confusion about matters of faith."
"[1]
Those of us writing similar jeremiads now have been working to clarify that the attack from Rome on the moral doctrine of the Church isn’t about marriage.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,[1] Those of us writing similar jeremiads now have been working to clarify that the attack from Rome on the moral doctrine of the Church isn’t about marriage.
This knowledge – that the attack is on the Body and Blood of Christ – can also help readers spot their friends in the crowd.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,This knowledge – that the attack is on the Body and Blood of Christ – can also help readers spot their friends in the crowd.
And then did nothing but weep as the inevitable disaster unfolded.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,And then did nothing but weep as the inevitable disaster unfolded.
"Originally, as highlighted by The Daily Sheeple, the security guard was hailed as being responsible for preventing the shooter from continuing his massacre because he interrupted him in the middle of the attack.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Originally, as highlighted by The Daily Sheeple, the security guard was hailed as being responsible for preventing the shooter from continuing his massacre because he interrupted him in the middle of the attack."
"Paddock shot the guard at 9:59 p.m. local time, Lombardo said, shortly before raining down bullets on the Route 91 Harvest festival in an attack that began at 10:05 p.m. and lasted 10 minutes.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Paddock shot the guard at 9:59 p.m. local time, Lombardo said, shortly before raining down bullets on the Route 91 Harvest festival in an attack that began at 10:05 p.m. and lasted 10 minutes."
"(@New_England_) October 10, 2017
While we may never know the exact circumstances surrounding what transpired in the shooter’s hotel room, the information being released not just by law enforcement, but witnesses to the event who recorded hundreds of cumulative hours of video and audio, now calls the entirety official story into question.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"(@New_England_) October 10, 2017 While we may never know the exact circumstances surrounding what transpired in the shooter’s hotel room, the information being released not just by law enforcement, but witnesses to the event who recorded hundreds of cumulative hours of video and audio, now calls the entirety official story into question."
"pic.twitter.com/5WnCA8mrhf — Jennifer Bendery (@jbendery) October 11, 2017
The island’s electrical grid was all but completely destroyed during Hurricane Maria, and many are still struggling without the most basic of necessities.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"pic.twitter.com/5WnCA8mrhf — Jennifer Bendery (@jbendery) October 11, 2017 The island’s electrical grid was all but completely destroyed during Hurricane Maria, and many are still struggling without the most basic of necessities."
"“Puerto Rico has experienced a natural disaster of a magnitude not seen in over a century, and we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,” Rosselló wrote.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"“Puerto Rico has experienced a natural disaster of a magnitude not seen in over a century, and we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,” Rosselló wrote."
"Las Vegas Shooting Victim: “There Was 100% More Than One Shooter,” Gates To Concert Were Locked Shortly Before Attack

Las Vegas mass shooting victim Rocky Palermo was shot in the pelvis during the horrific attack and is now speaking out about what he saw and believes happened, including the presence of multiple shooters as well as locked concert gates and police telling frantic civilians to go in the other direction.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Las Vegas Shooting Victim: “There Was 100% More Than One Shooter,” Gates To Concert Were Locked Shortly Before Attack Las Vegas mass shooting victim Rocky Palermo was shot in the pelvis during the horrific attack and is now speaking out about what he saw and believes happened, including the presence of multiple shooters as well as locked concert gates and police telling frantic civilians to go in the other direction."
"Palermo, who has done various interviews since the attack, appeared on “The Blast” with a series of shocking comments that correlate with various other reports indicating that multiple shooters carried out the attack and that the FBI is actively covering this up.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Palermo, who has done various interviews since the attack, appeared on “The Blast” with a series of unexpected comments that correlate with various other reports indicating that multiple shooters carried out the attack and that the FBI is actively covering this up."
"Shockingly, he then goes on to detail the fact that at the end of the concert the previous two nights everyone had exited a specific way but on the night of the shooting this route was locked down shortly before the attack.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Shockingly, he then goes on to detail the fact that at the end of the concert the previous two nights everyone had exited a specific way but on the night of the shooting this route was locked down shortly before the attack."
"There were people that went over there and tried to leave and there were cops that were telling them no, you can’t go out here, you have to go the other way,” he shockingly concluded.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"There were people that went over there and tried to leave and there were cops that were telling them no, you can’t go out here, you have to go the other way,” he shockingly concluded."
"Such a couple could always be absolved and receive Holy Communion under the Church’s constant practice, albeit privately to avoid scandal.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Such a couple could always be absolved and receive Holy Communion under the Church’s constant practice, albeit privately to avoid scandal."
"Chris Ferrara to Robert Fastiggi • 16 minutes ago

Tell that to the four cardinals, the 800,000 faithful, the 45 theologians and the 61 other original signers of the correctio, all of whom you insult with your superficial and I must say entirely sophistical attempt to explain away what Francis is clearly doing.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Chris Ferrara to Robert Fastiggi • 16 minutes ago Tell that to the four cardinals, the 800,000 faithful, the 45 theologians and the 61 other original signers of the correctio, all of whom you insult with your superficial and I must say entirely sophistical attempt to explain away what Francis is clearly doing."
"But now, questions have been raised after Clark County Sheriff Joe Lombardo revised the timeline and said Campos had actually been shot about 9:59 p.m. a (full six minutes before the mass shooting began at 10:05 p.m.) which means the guard could have instead led Paddock to start opening fire on the crowd for fear of being caught.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"But now, questions have been raised after Clark County Sheriff Joe Lombardo revised the timeline and said Campos had actually been shot about 9:59 p.m. a (full six minutes before the mass shooting began at 10:05 p.m.) which means the guard could have instead led Paddock to start opening fire on the crowd for fear of being caught."
"Police have said it was difficult to identify the source of the bullets during the attack, and the confusion added more minutes to their lengthy response.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Police have said it was difficult to identify the source of the bullets during the attack, and the confusion added more minutes to their lengthy response."
"Las Vegas Metro Police Undersheriff Kevin McMahill explained more about Campos’s actions the night of the shooting, helping fill in some of what happened ahead of the attack, but unfortunately, it only added more questions and gave little in the way of answers.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Las Vegas Metro Police Undersheriff Kevin McMahill explained more about Campos’s actions the night of the shooting, helping fill in some of what happened ahead of the attack, but unfortunately, it only added more questions and gave little in the way of answers."
Jeff begins the interview by making clear his belief that there were multiple active shooters targeting different places in Las Vegas on the night of the attack.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Jeff begins the interview by making clear his belief that there were multiple active shooters targeting different places in Las Vegas on the night of the attack.
Slowly but surely we are starting to see the official narrative regarding the Las Vegas Massacre be completely destroyed.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Slowly but surely we are starting to see the official narrative regarding the Las Vegas Massacre be completely destroyed.
"The distinction between the illegal aliens who benefited from Obama's illegal amnesty and other illegals has always been a matter of rhetoric, not substance.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"The distinction between the illegal aliens who benefited from Obama's illegal amnesty and other illegals has always been a matter of rhetoric, not substance."
"""it’s not that BDS is “censoring” work — it’s that BDS is resisting a propaganda campaign that was intentionally crafted to influence international politics,"" Dan Fishback claimed when advocating a boycott of some Israeli plays.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"""it’s not that BDS is “censoring” work — it’s that BDS is resisting a propaganda campaign that was intentionally crafted to influence international politics,"" Dan Fishback claimed when advocating a boycott of some Israeli plays."
It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people.
"A well-coordinated, meticulously planned attack on concertgoers leads to the murder of 58 Americans at a country music festival in Las Vegas, with over 500 injured, and they have no explanation or motive.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"A well-coordinated, meticulously planned attack on concertgoers leads to the murder of 58 Americans at a country music festival in Las Vegas, with over 500 injured, and they have no explanation or motive."
"That raised a number of question, including why no one called 911 after what must have been a loud volley of shots in a hotel hallway.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"That raised a number of question, including why no one called 911 after what must have been a loud volley of shots in a hotel hallway."
"Iran has tested several ballistic missiles during the last two years, including two Qadr H missiles with the phrase “Israel must be wiped out” emblazoned on the sides.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Iran has tested several ballistic missiles during the last two years, including two Qadr H missiles with the phrase “Israel must be wiped out” emblazoned on the sides."
"“We never sought in this negotiation the capacity for so-called anytime, anywhere,” Rhodes said on July 14, 2015.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"“We never sought in this negotiation the capacity for so-called anytime, anywhere,” Rhodes said on July 14, 2015."
"Kerry claimed on September 2, 2015 that the JCPOA “never sunsets.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Kerry claimed on September 2, 2015 that the JCPOA “never sunsets."
It is precisely because North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,It is precisely because North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so serious that President Trump does not want to make the same mistake with Iran.
America’s European allies are also upset with President Trump for refusing to recertify the deal and threatening to pull out if certain conditions are not met.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,America’s European allies are also upset with President Trump for refusing to recertify the deal and threatening to pull out if certain conditions are not met.
"Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago."
"According to CNN, the cases were reported by both the World Health Organization (WHO) and the National Bureau for Risk and Disaster Management (BNGRC) in Madagascar.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"According to CNN, the cases were reported by both the World Health Organization (WHO) and the National Bureau for Risk and Disaster Management (BNGRC) in Madagascar."
"David Hickey, a spokesman for the Security, Police, and Fire Professionals of America (SPFPA), Campos’s union, said he got a text that Campos had been taken to an urgent care facility, UMC Quick Care.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"David Hickey, a spokesman for the Security, Police, and Fire Professionals of America (SPFPA), Campos’s union, said he got a text that Campos had been taken to an urgent care facility, UMC Quick Care."
"Starting with the US embassy seizure and hostage crisis, Trump described Iran’s crimes and acts of war against America in greater detail than any of his predecessors ever did.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Starting with the US embassy seizure and hostage crisis, Trump described Iran’s crimes and acts of war against America in greater detail than any of his predecessors ever did."
